Date,Portfolio_Value,Benchmark_Value
2019-03-29,136744.81528984968,122604.54778166013
2019-04-01,137492.23663435446,123034.32684736434
2019-04-02,137848.41790550548,123261.35311744493
2019-04-03,138072.67035027905,123473.24891200228
2019-04-04,138399.15038938474,123645.06884416079
2019-04-05,139054.13346174933,124023.47943637773
2019-04-08,138823.17714740272,123777.09165563787
2019-04-09,138284.70161410817,123292.43250410384
2019-04-10,138776.11067207291,123729.05118341258
2019-04-11,139016.12079337687,123825.9020660214
2019-04-12,139468.41344706598,124047.15859818646
2019-04-15,139850.43144810043,124428.09196657076
2019-04-16,139736.80075672898,124321.81249702437
2019-04-17,139624.80179995557,124295.16379532327
2019-04-18,140164.78960273712,124661.46689758054
2019-04-22,139919.82947969338,124432.18207999768
2019-04-23,141317.74505453292,125317.383172226
2019-04-24,141227.57315769434,125433.72727107897
2019-04-25,141160.93027095305,125304.68478552677
2019-04-26,141563.3217044776,125580.58412986319
2019-04-29,141475.48319961596,125531.17255761006
2019-04-30,141279.57743115845,125463.38047346126
2019-05-01,140748.6833522382,125185.87875358603
2019-05-02,140420.0074168763,124799.43949519709
2019-05-03,141189.26368931847,125381.66354044895
2019-05-06,141016.64486050923,125185.43319446861
2019-05-07,139761.87514880567,124369.8899950537
2019-05-08,139917.11246391534,124424.75112319947
2019-05-09,139228.04580372496,124052.4643984781
2019-05-10,139113.52316111157,123942.60107270144
2019-05-13,137646.18682495703,122963.33599434447
2019-05-14,138324.35117710577,123436.25621207248
2019-05-15,138781.26769190733,123824.08169387684
2019-05-16,139827.37688160402,124489.13464893942
2019-05-17,139220.69751666038,124144.28798292513
2019-05-21,138985.70492413634,123820.69347848464
2019-05-22,138662.97571800972,123674.01472766942
2019-05-23,137882.1299374377,123333.15206648422
2019-05-24,138061.45862710194,123651.87819468873
2019-05-27,138705.59391352185,124045.83891987675
2019-05-28,137871.7007434917,123665.59246502601
2019-05-29,137293.74017838843,123255.02255554569
2019-05-30,137271.11110605687,123315.54323259856
2019-05-31,136536.83546258093,122858.35526815485
2019-06-03,136129.70779638726,122787.78498474267
2019-06-04,137570.86769853308,123582.62334825433
2019-06-05,138445.53100624756,124071.2137221816
2019-06-06,138603.69906570102,124046.14874902576
2019-06-07,138877.00677054084,124353.60104123777
2019-06-10,138941.6541567165,124332.45474403264
2019-06-11,139093.36216599424,124536.37416552863
2019-06-12,139180.37677954626,124550.61369369825
2019-06-13,139580.47458114088,124810.52957827487
2019-06-14,140222.21992922752,125148.67007070706
2019-06-17,140288.08016062237,125139.5300442921
2019-06-18,141432.6959903486,125997.58434874911
2019-06-19,141227.08178755725,125900.83715036121
2019-06-20,141834.29902142627,126128.7531984997
2019-06-21,141661.85067370595,125853.21265091078
2019-06-24,141644.43331731987,125834.91330782668
2019-06-25,140582.51678833642,125188.71422947999
2019-06-26,139815.77717310423,124718.34733925803
2019-06-27,139968.54363846828,124835.44369169862
2019-06-28,140495.3256909559,125362.7527483402
2019-07-02,141656.14878138562,126021.39126788173
2019-07-03,142456.84111109577,126568.36354135527
2019-07-04,142549.45854999637,126594.98962094472
2019-07-05,141899.49198433934,125905.7201559373
2019-07-08,141383.89882522577,125565.31886959917
2019-07-09,142051.5002354704,125832.35461246912
2019-07-10,142173.81833460278,125844.82892439642
2019-07-11,142136.52341718323,125716.86270141913
2019-07-12,142066.22554563778,125654.02516968193
2019-07-15,142171.83938727572,125833.48362783963
2019-07-16,142015.05283432957,125688.85068463047
2019-07-17,141581.97579311472,125539.42896262518
2019-07-18,141998.0833895638,125756.63556797057
2019-07-19,141538.87599707974,125613.34509519325
2019-07-22,142183.25497499862,126041.48301157172
2019-07-23,142858.44647196698,126567.61522114204
2019-07-24,143489.53043542718,126926.62286867804
2019-07-25,142613.56380568424,126318.14836099636
2019-07-26,143350.22604267154,126714.64259313661
2019-07-29,143051.62597480536,126463.64351646278
2019-07-30,142694.92121545994,125964.89340642598
2019-07-31,142144.06123761547,125777.49147896921
2019-08-01,141824.76151487688,125729.0075172743
2019-08-02,140877.408259153,125191.71442946352
2019-08-06,140107.47351372696,124753.77488267963
2019-08-07,141173.2438751443,125297.97406430426
2019-08-08,142284.338284838,125831.41380560261
2019-08-09,141446.72409163657,125272.83802578195
2019-08-12,140768.77259573925,124890.01817572296
2019-08-13,141982.53501492718,125621.2641626084
2019-08-14,139777.9281220808,124327.99578511261
2019-08-15,139991.26090948592,124604.08632774846
2019-08-16,141128.4881586601,125252.1663908376
2019-08-19,142447.99374101323,125965.50504958231
2019-08-20,141605.20264631722,125482.86429410007
2019-08-21,142280.97282964902,125749.85781021706
2019-08-22,142010.9828960758,125449.1724468264
2019-08-23,140332.5086758128,124286.79247369987
2019-08-26,140962.77674653768,124711.71759382522
2019-08-27,141732.4117989365,125210.65444224526
2019-08-28,142033.561944413,125540.12957063291
2019-08-29,142804.0297886429,126195.02056816207
2019-08-30,143142.59642340083,126442.86204029327
2019-09-03,143220.68626047397,126261.69301726819
2019-09-04,143567.96603154833,126513.96287408067
2019-09-05,143864.84502066285,126908.12461195575
2019-09-06,143139.73134926605,126662.03129601374
2019-09-09,142805.24690314577,126454.51319448024
2019-09-10,142472.52641984943,126139.90773362666
2019-09-11,143823.70647949516,126839.99240395513
2019-09-12,144448.0869874438,127139.64764610287
2019-09-13,144977.20640933103,127404.85499448175
2019-09-16,144530.714879903,127163.95868534036
2019-09-17,145001.12721329735,127686.30459877549
2019-09-18,145009.3855566181,127769.91228060142
2019-09-19,145086.38934493615,127981.13026414279
2019-09-20,145306.4535993374,128094.6634333583
2019-09-23,145234.39777682483,127954.53205879522
2019-09-24,144564.47568621457,127694.05282678772
2019-09-25,144462.59001206752,127531.36928884668
2019-09-26,144410.6990522281,127681.90209386147
2019-09-27,143546.32654742143,127194.78297256345
2019-09-30,143541.95720271172,127510.68123264183
2019-10-01,142194.32731677848,126466.10637564393
2019-10-02,141772.3764112163,125789.06292870881
2019-10-03,142712.60420619417,126498.57541546898
2019-10-04,143570.40102297388,127200.69137619706
2019-10-07,143129.56399254908,126808.8519290058
2019-10-08,142184.6894873057,126029.32931701915
2019-10-09,143192.93822050485,126518.37521766202
2019-10-10,143141.11068301677,126464.32741716203
2019-10-11,143085.23365545145,126601.07635354082
2019-10-15,143854.7318881393,126942.87177462905
2019-10-16,143911.6063647425,126907.02018882733
2019-10-17,143649.99195771737,126790.71645378927
2019-10-18,143242.1834458069,126633.72647021568
2019-10-21,143243.8247925397,126810.53368155181
2019-10-22,143252.85715407718,126855.68984129952
2019-10-23,143370.13300299898,126850.92591873821
2019-10-24,143783.5501392866,126957.69024931442
2019-10-25,143998.93602333343,126964.19769549978
2019-10-28,144091.9142300235,126926.88252752797
